site_name,latitude,longitude,state,com_type,commod1,dep_type,prod_size,dev_stat,ore,work_type,hrock_type,arock_type
"Virgen De La Puerta, Mina",-7.68722,-78.49478,La Libertad,M,Arsenic,,U,Occurrence,,,Clastic Sedimentary Rock,Plutonic Rock
"Bonanza 2, Mina",-7.96247,-78.78896,La Libertad,N,"Limestone, General, Marble, Dimension",,U,Occurrence,,,Clastic Sedimentary Rock,
"Rio Seco, Mina",-7.1764,-79.63814,La Libertad,N,Halite,,Y,Occurrence,,,,
"Alexandra I, Mina",-8.03136,-78.75479,La Libertad,N,Clay,,N,Occurrence,,,Volcanic Rock (Aphanitic),Andesite
"El Triunfo, Mina",-7.21946,-79.42925,La Libertad,N,"Limestone, General",,N,Occurrence,,,Clastic Sedimentary Rock,
"Navidad 1952, Mina",-16.36854,-70.79791,Moquegua,M,"Lead, Silver, Copper",,Y,Occurrence,,,"Diorite,Slate,Quartzite",Diorite
"Madre De Dios, Yacimiento",-12.52228,-70.33707,Madre De Dios,M,Gold,,Y,Occurrence,,,,
"6 De Agosto, Mina",-16.36854,-70.79791,Moquegua,M,"Silver, Zinc, Lead",,Y,Occurrence,,Surface/Underground,"Diorite,Quartzite",Diorite
"Dolores, Mina",-16.36854,-70.79791,Moquegua,M,"Lead, Copper",,Y,Occurrence,,,"Quartzite,Andesite",Diorite
"Ana Lourdes, Mina",-16.58937,-70.77541,Moquegua,M,Copper,,Y,Occurrence,,,"Quartzite,Andesite",Basalt
"Santiago, Mina",-17.45517,-71.17626,Moquegua,M,Copper,,S,Occurrence,Malachite,,Diorite,Diorite
"Carbon, Prospecto",-16.79936,-70.71375,Moquegua,N,Graphite,,Y,Occurrence,,,"Slate,Quartzite",
"Idhelma, Concesion",-17.52767,-71.10458,Moquegua,M,Magnesite,,N,Occurrence,,,Schist,Diorite
Los Colonos Concesion,-8.42551,-76.24,San Martin,M,Gold,,N,Occurrence,,,,
Tres Cruces Prospecto,-17.84349,-70.04956,Tacna,M,Copper,,N,Occurrence,,,"Shale,Limestone",
Casapalca Mina,-17.81988,-70.04623,Tacna,M,Copper,,N,Occurrence,Malachite,,Diorite,
Casanova Prospecto,-17.76849,-69.87177,Tacna,M,"Silver, Copper",,N,Occurrence,Galena,,Conglomerate,
Mercedes I Mina,-17.70599,-70.46901,Tacna,M,"Copper, Silver",,N,Occurrence,Malachite,,Andesite,Monzonite
Pistala-Ispinguine-Chucatamani Prospectos,-17.53934,-70.10512,Tacna,M,Molybdenum,,N,Occurrence,,,"Volcanic Rock (Aphanitic),Volcanic Breccia (Agglomerate),Andesite",Tonalite
Tripartito Cantera,-17.50767,-69.50371,Tacna,N,Diatomite,,N,Occurrence,Diatomite,,Conglomerate,
